t010300_0520	Karpan naiminen
t010300_0530	Karpan ukko ripittää
t010300_0540	Kati kaunoinen tyttö
t010300_0550	Katri kipparina
t010300_0560	Katrilla kaksi syäntä
t010300_0570	Kauppiaan karhu
t010300_0580	Kauppolan kamala tyttö
t010300_0590	Kekin Matin kirnuaminen
t010300_0600	Kekkosess on poika kelmi
t010300_0610	Keksin laulu
t010300_0620	Kellot kuuluvat Kemistä
t010300_0630	Kerpaan vaimot
t010300_0635	Kesä kaikki kaunistaa
t010300_0640	Kettusen runo
t010300_0650	Kirkisen soutu
t010300_0660	Kissa kaivoon
t010300_0670	Kissan keittäminen
t010300_0680	Kissan surma
t010300_0690	Kissan virsi
t010300_0695	Kittilän papin saarnoja
t010300_0700	Kiurun ukko kiittelevi
t010300_0710	Koinaja kotiin Pietarista
t010300_0730	Koiran tappo ja jako
t010300_0740	Kokkolan Kakko oli ahma ampumaan
t010300_0750	Kolkkalassa koinettiin
t010300_0760	Kolppanan Kati
t010300_0770	Kontrahtivirsi
t010300_0780	Korkan pojat kapakkatiellä
t010300_0790	Korosaaren herra
t010300_0800	Kosan vallan tytöt arpojalla
t010300_0810	Kosissa käynyt poika
t010300_0820	Kotin Tommon koira kuoli
t010300_0830	Kotoa lähtevä poika
t010300_0840	Koukunniemen miehet
t010300_0845	Kristillisaiheinen sepitelmä
t010300_0850	Kuippinon kulakka Helka
t010300_0860	Kumma Kuston tyttö
t010300_0870	Kumma kuusikossa
t010300_0880	Kun astun ahkioon
t010300_0890	Kun ei taitu talven jalka
t010300_0900	Kuoli meiltä kunnon pässi
t010300_0910	Kuparinen kummeksii
t010300_0920	Kupjaan kolme tytärtä
t010300_0930	Kuroisen Tommi varasti koiran
t010300_0940	Kuulin kummat Kukkosista
t010300_0950	Kuurovitsan tytöt käyvät karvakurpposessa
t010300_0960	Käin mie kerran Kärpäsillä
t010300_0970	Käiverän tyttöjen kirkkovaatteet
t010300_0980	Käräjöimisestä
t010300_0990	Kävin piennä Pietarissa
t010300_1000	Köyhän Jussin hääreissu
t010300_1010	Köyhän miehen naimisesta suuresta suvusta
t010300_1020	Laakalan lavia Maikko
t010300_1030	Laatu poika Paussun palvelijana
t010300_1040	Lappalainen, laiha poika
t010300_1050	Lappeenrannan sällin laulu
t010300_1060	Larin akka
t010300_1065	Laulaja Öskä-Löskä
t010300_1070	Laulajaisen virsi Taipaleessa
t010300_1080	Laulakaat lanasta lapset
t010300_1090	Laulu laulettu Lapissa
t010300_1100	Lauluja tappelusta
t010300_1110	Lemmennostaja ämmä
t010300_1120	Litmasen emäntä havaitsee murhan tapahtuneen
t010300_1130	Liukas Liippu
t010300_1140	Lokka, Loukkula, Mäkkylä, Säätinä: kylien moitintaa
t010300_1150	Luiskenitsan lutku Anni
t010300_1160	Lähin olkia pakohon
t010300_1170	Läksi Katrina kaupalle
t010300_1180	Läksi kummat kulkemaan sepän akasta
t010300_1200	Löysin hirven heinikosta
t010300_1210	Maaria majasta huusi
t010300_1220	Maikko Jussille sanoo, pitäs ostaa pinteliä
t010300_1230	Makaran Tuomas löysi hylätyn lapsen
t010300_1240	Mari
t010300_1250	Matjun Iilja kosimassa
t010300_1260	Matkalainen talossa yötä
t010300_1270	Matti mies matala
t010300_1280	Matti puuttui purlakaksi
t010300_1290	Meijän kylä oli sievä
t010300_1300	Menin Korpelan kokolle
t010300_1310	Merimatka Narvusiin
t010300_1320	Mikko merroilla - konna merrassa
t010300_1340	Mokoma morsian
t010300_1350	Morsiamen etsijä
t010300_1360	Mustalaisen virsi
t010300_1365	Mustempi sydän pahalla
t010300_1370	Myllyn teko koskeen
t010300_1380	Myyrän Katri
t010300_1390	Naalu katso kallivolta
t010300_1400	Nahko naimahan meni
t010300_1410	Neidot tahtovat ennustella sulhoja
t010300_1420	Neidot tappavat ja hautaavat nännät
t010300_1430	Nouse, kuoma, kosinolta
t010300_1440	Nuijan Tepon tyttö
t010300_1450	Nuoremmalle mennyt
t010300_1460	Nuori kalastaja
t010300_1470	Oreskan Ievan vaatteet
t010300_1480	Orja ampui jäniksiä, oravia, karhuja
t010300_1485	Outi
t010300_1490	Paavo päälliköksi
t010300_1500	Paavon akka aivan tarkka
t010300_1510	Paha herra Pankkovassa
t010300_1520	Pahavainan paharaiska
t010300_1530	Paikkovan paras molotsa
t010300_1540	Pappi Matti
t010300_1550	Passinkyselijälle
t010300_1560	Petetty neito
t010300_1570	Piennä piikueen, Hatsinasta vaatteet
t010300_1580	Pietariin kerran läksin
t010300_1590	Piika huusi pinkotinta
t010300_1600	Piika kivellä
t010300_1610	Piika metsässä makaava
t010300_1620	Pilkkavirsi kahden vallan tytöistä
t010300_1640	Piritta kylpemähän
t010300_1650	Pirun ja köyhän miehen kaski
t010300_1660	Poika Vuoksen vuoriloilta
t010300_1670	Poron syöjäin laulu
t010300_1680	Porovarkaus
t010300_1690	Potkelan pojat eivät elätä äitiään
t010300_1700	Poukuri poloinen poika
t010300_1710	Pullo-Anni
t010300_1720	Purlakan elämä
t010300_1730	Pyhäjärvi
t010300_1740	Pässi Kaavelista
t010300_1750	Pässin tappo ja keitto
t010300_1760	Pässin virsi
t010300_1770	Rahkasen Annista
t010300_1780	Raiskaus
t010300_1790	Ranusta ramia piika tuli Kokkolaan
t010300_1800	Rautu
t010300_1810	Ravittalan herra ja Valetta-koira
t010300_1820	Riekkinän Repakku
t010300_1830	Ripalassa riideltiin
t010300_1840	Riskun Kaisan pitkä Kalle
t010300_1850	Rita riihen riski piika
t010300_1860	Rohkia romana
t010300_1870	Rotta haasto roisutteli
t010300_1880	Ryökkinä Hanna
t010300_1890	Saapro
t010300_1900	Saareen Anni laivalla
t010300_1910	Saavan Oute
